date,new_rate,prev_rate,consensus,surprise,signal_note,src
2020-12-18,4.25,4.25,4.25,in-line,Инфляция выше прогноза; сигнал о дальнейшем смягчении фактически снят («будет оценивать наличие потенциала»),cbr.ru; консенсус Reuters
2021-02-12,4.25,4.25,4.25,in-line,"ВАЖНАЯ смена сигнала: «потенциал смягчения ДКП исчерпан», ЦБ будет определять сроки возврата к нейтральной ставке",cbr.ru; консенсус Reuters/Bloomberg
2021-03-19,4.5,4.25,4.25,hawkish,Неожиданное начало цикла повышения (подавляющее большинство опрошенных ждало сохранения); «допускает возможность дальнейшего повышения на ближайших заседаниях»,cbr.ru; опросы Bloomberg/Reuters (большинство — сохранение)
2021-04-23,5.0,4.5,4.75,hawkish,Шаг +50 при медианном ожидании +25; впервые опубликована траектория средней ключевой ставки,"cbr.ru; опросы Bloomberg/Reuters (медиана +25, значимая часть +50) — консенсус был расколот"
2021-06-11,5.5,5.0,5.5,in-line,Сигнал ужесточён: «допускает необходимость дальнейшего повышения на ближайших заседаниях»,cbr.ru; консенсус Reuters +50
2021-07-23,6.5,5.5,6.5,in-line,"Максимальный с 2014 г. шаг +100 совпал с ожиданиями большинства после инфляции 6,5%",cbr.ru; консенсус Reuters/РБК +100
2021-09-10,6.75,6.5,7.0,dovish,Шаг +25 вместо ожидавшихся +50; но сигнал допускает дальнейшие повышения,cbr.ru; консенсус Bloomberg/Reuters +50
2021-10-22,7.5,6.75,7.0,hawkish,Шаг +75 существенно выше ожиданий (+25/+50); резко повышен прогноз инфляции,"cbr.ru; опросы Reuters/Bloomberg (медиана 7.00, часть 7.25)"
2021-12-17,8.5,7.5,8.5,in-line,«Допускает возможность дальнейшего повышения на ближайших заседаниях»,cbr.ru; консенсус Reuters/РБК +100
2022-02-11,9.5,8.5,9.5,in-line,Последнее «мирное» заседание; сигнал на дальнейшее повышение,cbr.ru; консенсус Reuters/РБК +100
2022-02-28,20.0,9.5,,hawkish,ВНЕПЛАНОВОЕ экстренное заседание после начала СВО и санкций на ЦБ: +1050 б.п. для защиты финстабильности; консенсуса не существовало,cbr.ru пресс-релиз 28.02.2022
2022-04-08,17.0,20.0,,dovish,ВНЕПЛАНОВОЕ снижение −300 б.п.: риски финстабильности перестали нарастать; сигнал о дальнейшем снижении на ближайших заседаниях,cbr.ru пресс-релиз 08.04.2022
2022-04-29,14.0,17.0,15.0,dovish,Шаг −300 при консенсусе −200; «видит пространство для снижения ставки в 2022 году»,cbr.ru; консенсус Reuters/Интерфакс 15.00%
2022-05-26,11.0,14.0,,dovish,ВНЕПЛАНОВОЕ снижение −300 б.п. на фоне резкого укрепления рубля и замедления инфляции; «допускает снижение на ближайших заседаниях»,cbr.ru пресс-релиз 26.05.2022
2022-06-10,9.5,11.0,9.5,in-line,Возврат ставки на довоенный уровень; сигнал смягчения сохранён,cbr.ru; консенсус Reuters (медиана 9.50)
2022-07-22,8.0,9.5,9.0,dovish,Шаг −150 втрое больше ожидавшихся −50; «будет оценивать целесообразность снижения во втором полугодии»,cbr.ru; консенсус Reuters/Интерфакс 9.00%
2022-09-16,7.5,8.0,7.5,in-line,"СМЕНА СИГНАЛА: намёк, что цикл смягчения близок к завершению (нейтральный сигнал вместо снижательного)",cbr.ru; консенсус Reuters/РБК −50
2022-10-28,7.5,7.5,7.5,in-line,"Первая пауза после мобилизации; направленный сигнал отсутствует, риски двусторонние",cbr.ru; консенсус Reuters/РБК
2022-12-16,7.5,7.5,7.5,in-line,"Отмечен рост проинфляционных рисков (бюджет, рынок труда) — лёгкий ястребиный уклон",cbr.ru; консенсус Reuters/РБК
2023-02-10,7.5,7.5,7.5,in-line,СМЕНА СИГНАЛА на ястребиный: «при усилении проинфляционных рисков будет оценивать целесообразность повышения»,cbr.ru; консенсус Reuters/РБК
2023-03-17,7.5,7.5,7.5,in-line,,cbr.ru; консенсус Reuters/РБК
2023-04-28,7.5,7.5,7.5,in-line,,cbr.ru; консенсус Reuters/РБК
2023-06-09,7.5,7.5,7.5,in-line,Сигнал ужесточён: «допускает возможность повышения ставки на ближайших заседаниях»,cbr.ru; консенсус Reuters/РБК
2023-07-21,8.5,7.5,8.0,hawkish,Первое повышение с февраля 2022: +100 при консенсусе +50; сигнал на дальнейшее повышение,cbr.ru; консенсус Reuters/РБК 8.00%
2023-08-15,12.0,8.5,,hawkish,ВНЕПЛАНОВОЕ экстренное заседание после курса 100+ руб/$: +350 б.п. «в целях ограничения рисков ценовой стабильности»,cbr.ru пресс-релиз 15.08.2023
2023-09-15,13.0,12.0,12.0,hawkish,Большинство ждало паузы после экстренного повышения; +100 и сигнал «продолжительный период жёсткой ДКП»,cbr.ru; консенсус РБК/Reuters (большинство — сохранение 12%)
2023-10-27,15.0,13.0,14.0,hawkish,+200 при консенсусе +100; повышен прогноз инфляции и траектории ставки,cbr.ru; консенсус РБК/Интерфакс 14.00%
2023-12-15,16.0,15.0,16.0,in-line,Намёк на близость пика цикла: возврат инфляции к цели потребует жёстких условий «продолжительный период»,cbr.ru; консенсус РБК/Reuters +100
2024-02-16,16.0,16.0,16.0,in-line,"Первая пауза на пике; жёсткие условия «продолжительный период», снижение не обсуждалось",cbr.ru; консенсус РБК/Интерфакс
2024-03-22,16.0,16.0,16.0,in-line,,cbr.ru; консенсус РБК/Интерфакс
2024-04-26,16.0,16.0,16.0,in-line,Ястребиный сдвиг: повышен прогноз средней ключевой ставки на 2024–2025 («higher for longer»),cbr.ru; консенсус РБК/Интерфакс
2024-06-07,16.0,16.0,16.0,in-line,"Сохранение при заметном меньшинстве, ждавшем +100; СИГНАЛ УЖЕСТОЧЁН: «допускает возможность повышения на ближайшем заседании»",cbr.ru; консенсус РБК/Интерфакс (большинство — сохранение)
2024-07-26,18.0,16.0,18.0,in-line,+200 совпало с консенсусом; «будет оценивать целесообразность дальнейшего повышения»; резко повышен прогноз средней ставки,cbr.ru; консенсус РБК/Интерфакс 18.00%
2024-09-13,19.0,18.0,18.0,hawkish,Большинство консенсуса РБК ждало сохранения 18%; рассматривался и шаг до 20%; «допускает возможность повышения на ближайшем заседании»,rbc.ru/quote/news/article/66e3cfeb9a79474a57b270eb; vedomosti.ru
2024-10-25,21.0,19.0,20.0,hawkish,+200 при консенсусе +100; исторический максимум ставки; жёсткий сигнал на возможное дальнейшее повышение,cbr.ru; консенсус РБК/Интерфакс 20.00%
2024-12-20,21.0,21.0,23.0,dovish,КЛЮЧЕВОЙ РАЗВОРОТ: сохранение вместо ожидавшихся 23%; ЦБ сослался на ужесточение денежно-кредитных условий сверх заложенного; сигнал резко смягчён,cbr.ru; консенсус РБК/Интерфакс 23.00% (репер задания)
2025-02-14,21.0,21.0,21.0,in-line,"Сигнал сохранён с ястребиным уклоном («будет оценивать целесообразность повышения»), но прогноз допускает начало снижения в 2025",cbr.ru; консенсус РБК/Интерфакс
2025-03-21,21.0,21.0,21.0,in-line,"Лёгкое смягчение риторики: жёсткие условия «более продолжительный период», хайк-опция звучит слабее",cbr.ru; консенсус РБК/Интерфакс
2025-04-25,21.0,21.0,21.0,in-line,СМЕНА СИГНАЛА: из заявления убрана опция повышения — нейтральный сигнал,cbr.ru; консенсус РБК/Интерфакс
2025-06-06,20.0,21.0,21.0,dovish,Первое снижение с сентября 2022 при консенсусе «сохранение»; при этом риторика осторожная — «жёсткая ДКП сохранится продолжительный период»,cbr.ru; консенсус РБК (большинство — сохранение 21%)
2025-07-25,18.0,20.0,18.0,in-line,Шаг −200 совпал с консенсусом; снижен прогноз средней ставки — цикл смягчения подтверждён,cbr.ru; консенсус РБК/Интерфакс 18.00%
2025-09-12,17.0,18.0,16.0,hawkish,"Шаг −100 вместо ожидавшихся −200 (16 из 30 в консенсусе РБК ждали 16%); осторожность из-за кредитования, рынка труда и бюджета",rbc.ru/finances/12/09/2025/68c2acc39a79478e4210feeb; interfax.ru/russia/1046834
2025-10-24,16.5,17.0,17.0,dovish,"Снижение −50 при консенсусе «пауза» (инфляция ускорялась до 8,2%); шаг уменьшен, но цикл продолжен",sbercib.ru; consultant.ru/legalnews/30300; опросы перед заседанием — большинство за сохранение 17%
2025-12-19,16.0,16.5,16.0,in-line,"Пятое снижение подряд; ожидания рынка 16,0–15,5%, шаг −50 в рамках консенсуса",cbr.ru/press/pr/?file=19122025_133000key.htm; banki.ru; ria.ru
2026-02-13,15.5,16.0,16.0,dovish,"Снижение −50 при консенсусе «сохранение 16%»; базовый прогноз средней ставки 13,5–14,5% на 2026 — мягче ожиданий",cbr.ru/press/pr/?file=13022026_133000key.htm; vedtver.ru (консенсус — сохранение)
2026-03-20,15.0,15.5,15.0,in-line,"20 из 23 экспертов консенсуса «Ведомостей» ждали ровно 15,00%",cbr.ru/press/pr/?file=20032026_133000key.htm; kp.ru; sbercib.ru
2026-04-24,14.5,15.0,14.5,in-line,"Шаг −50 совпал с большинством (часть ждала −100); но прогноз/риторика жёстче ожиданий рынка (Совкомбанк: «итоги жёстче, чем ждал рынок»)",cbr.ru/press/pr/?file=24042026_133000key.htm; finance.mail.ru; dp.ru
2026-06-19,14.25,14.5,14.0,hawkish,"Замедление шага с −50 до −25 при консенсусе −50 (ждали 14,00%); решение «жёстче ожиданий» на фоне роста цен на топливо",fontanka.ru/2026/06/19/76489071; finance.mail.ru (репер задания)
2026-07-24,14.0,14.25,14.25,dovish,"Снижение −25 при консенсусе «пауза» (лишь 6 из 24 в опросе Reuters ждали снижения); прогноз инфляции 2026 повышен до 6,0–7,0% из-за топлива, но цикл продолжен",cbr.ru/press/keypr; dp.ru/a/2026/07/24; ura.news; themoscowtimes (репер задания)
